input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
University of South Alabama,Southern Illinois University-Edwardsville,Eastern Michigan University,East Tennessee State University,Western Carolina University,Western Michigan University,Kent State University at Kent,Western Kentucky University,West Virginia University,The University of Tennessee-Chattanooga,Bowling Green State University-Main Campus
Spring Hill College,Saint Vincent College,Walsh University,Mount St. Mary's University,Cabrini University,La Roche University,Emmanuel College,King's College,Seton Hill University,Aquinas College,Carroll College
Troy University,Cleveland State University,University of Memphis,University of Wisconsin-Milwaukee,Wichita State University,Northern Kentucky University,University of Central Oklahoma,Oakland University,University of Akron Main Campus,University of North Florida,Radford University
Tuskegee University,Alcorn State University,Florida Agricultural and Mechanical University,North Carolina A & T State University,Lincoln University,Fort Valley State University,Morehouse College,University of Arkansas at Pine Bluff,Howard University,Dillard University,Morgan State University
University of Arizona,Texas Tech University,University of North Texas,Florida International University,Florida Atlantic University,University of Central Florida,University of South Florida,Texas State University,University of Houston,The University of Texas at San Antonio,University of Illinois Chicago
Embry-Riddle Aeronautical University-Prescott,Kettering University,Embry-Riddle Aeronautical University-Daytona Beach,Florida Institute of Technology,Champlain College,SUNY Maritime College,Montana Technological University,University of Alabama in Huntsville,Missouri University of Science and Technology,Marymount Manhattan College,LeTourneau University
University of Arkansas at Little Rock,Indiana University-South Bend,University of South Carolina-Upstate,Austin Peay State University,Youngstown State University,University of Michigan-Flint,University of Southern Maine,Augusta University,McNeese State University,Purdue University Northwest,Northwestern State University of Louisiana
University of Arkansas,University of Kentucky,Oklahoma State University-Main Campus,Louisiana State University and Agricultural & Mechanical College,Iowa State University,West Virginia University,University of Mississippi,Illinois State University,University of Nebraska-Lincoln,University of Kansas,The University of Tennessee-Knoxville
University of Arkansas at Pine Bluff,Kentucky State University,Mississippi Valley State University,Fort Valley State University,Lincoln University,Alcorn State University,Alabama A & M University,Elizabeth City State University,Southern University and A & M College,Texas Southern University,Winston-Salem State University
Arkansas State University,University of Louisiana at Monroe,Saginaw Valley State University,Arkansas Tech University,University of South Dakota,University of Central Arkansas,University of South Carolina Aiken,Minnesota State University Moorhead,Murray State University,University of Southern Indiana,Southeast Missouri State University
Arkansas Tech University,The University of Texas at Tyler,Arkansas State University,University of Wisconsin-Green Bay,Saint Cloud State University,University of Wisconsin-Oshkosh,University of Southern Indiana,Southeast Missouri State University,Colorado Mesa University,Saginaw Valley State University,Middle Georgia State University
University of Central Arkansas,Wright State University-Main Campus,Georgia College & State University,University of South Carolina Aiken,University of Northern Colorado,University of Southern Indiana,Saginaw Valley State University,Salem State University,University of West Georgia,Central Connecticut State University,Arkansas State University
Central Baptist College,Carson-Newman University,Oklahoma Wesleyan University,Tabor College,Ottawa University-Ottawa,Hardin-Simmons University,Shorter University,Charleston Southern University,Southwestern College,Bethany College,Williams Baptist University
Harding University,Abilene Christian University,Lipscomb University,George Fox University,Mississippi College,Ashland University,Cedarville University,Biola University,Freed-Hardeman University,Lee University,Florida Southern College
Henderson State University,Concord University,Northwestern Oklahoma State University,Delta State University,West Liberty University,Northern State University,Indiana University-South Bend,University of South Carolina Aiken,Lander University,Georgia Southwestern State University,Marietta College
Hendrix College,Drew University,Wofford College,Birmingham-Southern College,Allegheny College,Ohio Wesleyan University,Randolph-Macon College,Lycoming College,Washington College,North Central College,St. Mary's College of Maryland
John Brown University,Berry College,Rollins College,Illinois Wesleyan University,The College of Idaho,Alfred University,Oglethorpe University,Chatham University,Birmingham-Southern College,Lasell University,University of Mobile
Ouachita Baptist University,University of Mobile,Gardner-Webb University,Union University,Walsh University,Northwest Nazarene University,University of Evansville,Freed-Hardeman University,Indiana Wesleyan University-Marion,Carson-Newman University,Southwest Baptist University
University of the Ozarks,Maryville College,William Peace University,Monmouth College,Hastings College,Sterling College,Illinois College,The University of Tennessee Southern,William Jewell College,Lake Erie College,Rocky Mountain College
